item_id,item_name_en,korean_tag,aliases,category,sub_category,bag_color,destination,step_1_visual_id,step_1_text,step_2_visual_id,step_2_text,step_3_visual_id,step_3_text,mascot_funny_text,funny_fact,is_bulky,is_hazardous,bulky_website_url,special_note
T001,PET Water Bottle,생수병,water bottle|plastic water bottle|PET bottle|mineral water bottle|evian|fiji bottle,Recyclable,Clear PET,Clear PET,투명페트 separate bin,V01,Remove the cap,V02,Peel off the label,V03,Crush it flat,You really needed ANOTHER water bottle? The planet is judging.,Korea uses 4.9 billion PET bottles per year.,False,False,,Cap goes in Transparent bag separately
T002,Plastic Soda Bottle,탄산음료병,soda bottle|coke bottle|sprite bottle|fanta bottle|cola bottle|carbonated drink bottle,Recyclable,Clear PET,Clear PET,투명페트 separate bin,V04,Empty it completely,V01,Remove the cap,V03,Crush it flat,That sugar water was worth destroying the ocean? Cool cool cool.,Koreans drink 2.3 billion liters of soda annually.,False,False,,Rinse if sticky
T003,Colored Plastic Bottle,유색플라스틱병,shampoo bottle|body wash bottle|conditioner bottle|lotion bottle|detergent bottle|colored plastic bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty it completely,V05,Rinse it out,V03,Crush it flat,That 47-step skincare routine creates a LOT of trash.,"Korea's beauty industry produces 120,000 tons of plastic waste yearly.",False,False,,Remove pump/spray nozzle → General waste
T004,Plastic Food Container,플라스틱용기,takeout container|delivery container|bento box|plastic tray|food tray|meal container|disposable container,Recyclable,Plastic,Transparent,재활용 bin,V06,Remove all food bits,V05,Rinse it clean,V07,Stack them,Your Baemin addiction is showing. No judgment. OK maybe a little.,Koreans order 2.6 billion deliveries per year.,False,False,,If too greasy to clean → General waste White bag
T005,Plastic Cup (Iced Coffee),플라스틱컵,iced coffee cup|plastic cup|starbucks cup|disposable cup|cold drink cup|bubble tea cup|boba cup,Recyclable,Plastic,Transparent,재활용 bin,V04,Dump out the ice,V05,Rinse it quick,V07,Stack cups together,3 iced americanos a day? You're dehydrated AND trashy.,Korea consumes 3.3 billion disposable cups per year.,False,False,,Straw → General waste
T006,Plastic Bag,비닐봉지,plastic bag|shopping bag|grocery bag|vinyl bag|convenience store bag|poly bag,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out crumbs,V08,Flatten and fold it,V09,Put with other vinyl,You said no bag at the counter but here we are.,Korea banned free plastic bags in 2019.,False,False,,Must be clean and dry
T007,Bubble Wrap,뽁뽁이,bubble wrap|packing bubbles|air cushion packaging|protective wrap,Recyclable,Vinyl/Film,Transparent,재활용 bin,V10,Pop all the bubbles (mandatory fun),V08,Flatten it,V09,Put with other vinyl,Pop them all. We'll wait. ...Done? OK recycle it now.,Bubble wrap was originally invented as wallpaper in 1957.,False,False,,
T008,Styrofoam Container,스티로폼용기,styrofoam|foam container|ramen container|cup noodle cup|instant noodle container|polystyrene,Recyclable,Styrofoam,Transparent,재활용 bin,V06,Remove all food,V05,Rinse it clean,V11,Break into pieces if large,That midnight ramyeon hit different but so does the guilt.,"Korea uses 100,000 tons of styrofoam per year.",False,False,,Remove stickers/tape. If stained → General waste
T009,Styrofoam Delivery Box,택배스티로폼,delivery foam box|cooler box styrofoam|fresh food box|ice box styrofoam|meal kit box,Recyclable,Styrofoam,Transparent,재활용 bin,V12,Remove tape and labels,V05,Rinse if food residue,V11,Break into smaller pieces,Another meal kit? Your fridge is literally right there.,Korean delivery boxes travel an average of 200km.,False,False,,Leave outside near recycling area
T010,Plastic Wrap / Cling Film,랩,cling wrap|plastic wrap|saran wrap|food wrap|cling film|stretch wrap,General Waste,Vinyl/Film,White,일반쓰레기 bag,V13,Ball it up,,,,,Cling wrap is impossible to recycle. Even recycling plants hate it.,Cling film takes 450 years to decompose.,False,False,,Too thin to recycle
T011,Snack Bag / Chip Bag,과자봉지,chip bag|snack wrapper|crisp packet|doritos bag|lays bag|snack packaging,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out every crumb,V08,Flatten it,V09,Put with other vinyl,You ate the WHOLE bag? In one sitting? Respect.,The average chip bag is 43% air.,False,False,,If inside is foil-lined (shiny) → General waste
T012,Biscuit / Cookie Package,비스킷포장,biscuit pack|cookie wrapper|oreo package|cookie box|cracker package,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Remove all crumbs,V08,Flatten the wrapper,V09,Put with other vinyl,"Sharing is caring. But you didn't share, did you?",Korea's snack market is worth $7.2 billion.,False,False,,Separate plastic tray from outer wrapper
T013,Ramen Wrapper,라면봉지,ramen package|instant noodle wrapper|ramyeon bag|noodle packet|shin ramyeon wrapper,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out seasoning dust,V08,Flatten it,V09,Put with vinyl,Your 47th ramyeon this month. Your sodium levels are SCREAMING.,Koreans eat 80 packs of instant noodles per person per year — #1 worldwide.,False,False,,Seasoning packet foil → General waste
T014,Plastic Straw,플라스틱빨대,straw|plastic straw|drinking straw|disposable straw,General Waste,Plastic (small),White,일반쓰레기 bag,V13,Just toss it in,,,,,This tiny thing will outlive you by 200 years.,Korea banned plastic straws in cafes in 2023.,False,False,,Too small to recycle
T015,Plastic Utensils,플라스틱수저,plastic fork|plastic spoon|plastic knife|disposable cutlery|delivery utensils,General Waste,Plastic (small),White,일반쓰레기 bag,V13,Just toss them in,,,,,You have REAL utensils at home. Why did you take these?,Korea uses 25 billion disposable items per year.,False,False,,
