id,action_name,description_for_illustration,used_by_categories,typical_order_in_sequence,animation_suggestion
V01,Remove Cap / Lid / Pump,Hand twisting off a bottle cap or pulling off a pump nozzle,"Recyclable (Plastic, Glass, PET)",1,Twist-off motion
V02,Peel Off Label,Fingers peeling a label/sticker off a bottle,Recyclable (PET),2,Peeling motion
V03,Crush / Flatten (Bottle/Can),Hands crushing a plastic bottle or aluminum can flat,"Recyclable (PET, Plastic, Metal)",3,Squish/compress motion
V04,Empty Contents / Pour Out,"Bottle or container being tipped upside down, liquid pouring out","Recyclable (all), Food Waste",1,Tipping/pouring motion
V05,Rinse With Water,Container under running water tap being rinsed,Recyclable (all),2,Water splash
V06,Remove Food Residue / Scrape Clean,Spoon or hand scraping food bits out of a container,"Recyclable (Plastic, Styrofoam), Food Waste",1,Scraping motion
V07,Stack Together,Multiple cups or containers being stacked neatly,"Recyclable (Plastic, Paper)",3,Stacking motion
V08,Flatten / Fold Flat,"Hands pressing something flat (paper, vinyl, cardboard)","Recyclable (Paper, Vinyl)",2,Press-down motion
V09,Place In Correct Bin / Bag,Hand placing item into the correct colored bin or bag,All categories,3,Drop-in motion
V10,Pop Bubbles,Fingers popping bubble wrap with a satisfying pop effect,Recyclable (Vinyl),1,Pop pop pop animation
V11,Break Into Pieces,Hands breaking styrofoam into smaller chunks,Recyclable (Styrofoam),3,Snap/break motion
V12,Remove Tape / Labels / Stickers,Hands peeling tape and shipping labels off a box,Recyclable (Paper/Cardboard),1,Peeling motion
V13,Just Toss It In (General Waste),Hand casually tossing item into a white general waste bag,General Waste (all),1-3,Casual toss arc
V14,Flatten Cardboard Box,Hands stomping/pressing a cardboard box completely flat,Recyclable (Paper/Cardboard),2,Stomp/flatten
V15,Tie With String / Stack Neatly,Hands tying a bundle of paper/cardboard with string,Recyclable (Paper/Cardboard),3,Tying motion
V16,Remove Plastic Window,Fingers pulling the clear plastic window out of an envelope,Recyclable (Paper),1,Pull-out motion
V17,Place Gently In Glass Bin,Hands carefully placing a glass bottle into a green glass recycling bin,Recyclable (Glass),3,Gentle placement
V18,Wrap In Newspaper (Safety),Hands wrapping a sharp/fragile item in newspaper layers,General Waste (sharp/fragile),1,Wrapping motion
V19,Write Warning Label On Bag,Hand writing Korean text (유리조각/도자기) on outside of trash bag with marker,General Waste (sharp/fragile),2,Writing motion
V20,Open Can Fully,Can opener opening a tin can all the way,Recyclable (Metal),1,Opening motion
V21,Ensure Completely Empty (Pressurized),"Shaking an aerosol/spray can to confirm it's empty, no sound","Recyclable (Metal), Hazardous",1,Shake-check motion
V22,Puncture / Release Gas (Safely Outdoors),Puncturing an aerosol can cap outdoors with ventilation,Recyclable (Metal),2,Puncture with caution icon
V23,Factory Reset / Wipe Data,Phone or laptop screen showing 'Factory Reset' confirmation,Free Pickup (Electronics),1,Screen wipe animation
V24,Call 1599-0903 / Drop At 주민센터,Phone dialing 1599-0903 or person walking to 주민센터 building,"Free Pickup (Electronics, Appliances)",2,Phone call or walking
V25,Drop At Special Collection Box,Hand dropping item into a labeled collection box (battery/fluorescent/medicine),Hazardous (all),2,Drop-in motion
V26,Register Online At Gangnam-gu Website,Phone/laptop screen showing Gangnam-gu bulky waste registration page,Bulky Waste,1,Screen tap/click
V27,Pay The Fee,Payment screen showing fee amount with card/transfer payment,Bulky Waste,2,Payment confirmation
V28,Stick Number & Put Outside,"Hand sticking a numbered sticker on furniture, then placing it outside building",Bulky Waste,3,Stick + carry outside
V29,Schedule Pickup Date,Calendar screen with a pickup date being selected,Free Pickup (large appliances),3,Calendar tap
V30,Drain All Liquid,Hands squeezing/draining liquid from food waste over a sink,Food Waste,1,Squeeze/drain motion
V31,Put In Food Waste Bin / Yellow Bag,Hand placing food into a yellow food waste bag or RFID food waste bin,Food Waste,2,Drop into yellow
V32,Put In A Bag / Fold,Hands folding clothes and putting them in a bag,Donation,1,Folding motion
V33,Drop In Clothing Donation Bin (의류수거함),Person dropping a bag into a large green/white clothing donation bin on the street,Donation,2,Drop into large bin
V34,Soak In Newspaper / Paper Towels,Pouring used cooking oil onto newspaper/paper towels to absorb,General Waste (oil),1,Pouring + absorbing
V35,Scoop Out Wax,Spoon scooping remaining wax out of a candle jar,General Waste (candle),1,Scooping motion
V36,Separate Materials / Disassemble,"Hands pulling apart different materials (glass from frame, metal from fabric)",General Waste (mixed),1,Pull-apart motion
V37,Pop And Deflate,Hands popping air pillows and pressing air out,Recyclable (Vinyl),1,Pop + deflate
V38,Fold In Half,Hands folding a mask or mat in half,General Waste,1,Fold motion
V39,Cut Ear Loops / Strings,Scissors cutting the ear loops off a disposable mask,General Waste (mask),2,Snip motion
V40,Remove Batteries,Hands opening battery compartment and removing batteries,Free Pickup (Electronics),1,Open + remove
